iteration,loss,gradient_norm,step_size
127,3.9344565038565524e+18,1156322.2756383317,1.4272476927059634e-05
128,3.9416694819238185e+18,1142381.2656091682,1.4272476927059634e-05
129,3.9487707229237325e+18,803307.0679739432,1.4272476927059634e-05
130,3.9562703179922744e+18,799078.2981538897,1.4272476927059634e-05
131,3.9634969006652186e+18,559006.4860271742,1.4272476927059634e-05
132,3.9708154558358676e+18,781358.2307127472,1.4272476927059634e-05
133,3.9779664911604316e+18,589442.4804197005,1.4272476927059634e-05
134,3.985116389102759e+18,894431.8565637972,1.4272476927059634e-05
135,3.992374908011525e+18,847025.6827674728,1.4272476927059634e-05
136,3.9994529433968983e+18,560901.1690985095,1.4272476927059634e-05
137,4.006843108399135e+18,632074.9948994259,1.4272476927059634e-05
138,4.0141621340609485e+18,591390.0790990354,1.4272476927059634e-05
139,4.0215204876887276e+18,631535.6528965121,1.4272476927059634e-05
140,4.028871003728298e+18,975375.2760493129,1.4272476927059634e-05
141,4.036021870310919e+18,586898.6713242441,1.4272476927059634e-05
142,4.043215009102073e+18,583727.5646600868,1.4272476927059634e-05
143,4.0505980037426796e+18,611511.6021157022,1.4272476927059634e-05
144,4.05781593816888e+18,580871.950555107,1.4272476927059634e-05
145,4.064996171691535e+18,575058.3428189288,1.4272476927059634e-05
146,4.072152388105025e+18,547515.9944519325,1.4272476927059634e-05
147,4.0794052295888067e+18,620862.1126443193,1.4272476927059634e-05
148,4.086825012789212e+18,550772.9683179633,1.4272476927059634e-05
149,4.094090149824821e+18,788967.3985215159,1.4272476927059634e-05
