iteration,loss,gradient_norm,step_size,line_search_iter,condition_number
890,5.027055400123367e+200,3.977330053363914e+100,1.0,1,31492.366053556252
900,5.149912203778215e+200,4.008218283112123e+100,1.0,1,57587.77094633853
910,5.280487983054756e+200,4.040751269318442e+100,1.0,1,753057.5651868663
920,5.4391449838541906e+200,4.079899755387909e+100,1.0,1,31839.635085191167
930,5.602449929450349e+200,4.1197784547813214e+100,1.0,1,17265.724179673733
940,5.771369953548051e+200,4.160608747630685e+100,1.0,1,32632.716292179735
950,5.946365480059689e+200,4.202482231639537e+100,1.0,1,70337.11478242367
960,6.127860658910273e+200,4.245465985423568e+100,1.0,1,101877.9380443596
970,6.316229803926596e+200,4.2896208840846554e+100,1.0,1,33277.50475898469
980,6.511753485445588e+200,4.3349790898875e+100,1.0,1,33515.42521183723
990,6.714606628852021e+200,4.3815435566096344e+100,1.0,1,33828.13249986726
1000,6.925060291757633e+200,4.429336171630036e+100,1.0,1,34057.98794908551
1010,2.483449673974998e+211,7.028567641826205e+105,1.0,1,34304.28092336109
1020,8.93188699471518e+232,4.219195435821775e+116,1.0,1,34566.859529650086
1030,6.15373468660298e+254,3.5043442263054655e+127,1.0,1,35515.162073065396
1040,6.394343090520884e+276,3.573777988768745e+138,1.0,1,38116.56445698139
1050,8.500587705574279e+298,4.121795541613117e+149,1.0,1,44417.65547399563
1060,inf,inf,1.0,1,64631.77456822829
